"tournament","year","gender","match_num","date","winning_team","w_rank","losing_team","l_rank","score","duration","round","sub_round"
"Atlantic City Open",2014,"W","22","Sep 5 - Sep 7","Kim DiCello/Lane Carico","3","Emily Stockman/Traci Weamer","9","21-18, 25-23","0:45","Contender's Bracket","Round 2"
"Atlantic City Open",2014,"W","23","Sep 5 - Sep 7","Kathryn Piening/Megan Wallin-Brockway","8","Kendra VanZwieten/Tealle Hunkus","12","19-21, 21-16, 15-13","0:58","Contender's Bracket","Round 3"
"Atlantic City Open",2014,"W","24","Sep 5 - Sep 7","Kim DiCello/Lane Carico","3","Ali McColloch/Brittany Hochevar","5","21-13, 26-24","0:41","Contender's Bracket","Round 3"
"Atlantic City Open",2014,"W","25","Sep 5 - Sep 7","Kathryn Piening/Megan Wallin-Brockway","8","Amanda Dowdy/Branagan Fuller","11","21-17, 21-18","0:36","Contender's Bracket","Round 4"
"Atlantic City Open",2014,"W","26","Sep 5 - Sep 7","Kim DiCello/Lane Carico","3","Heather McGuire/Whitney Pavlik","4","21-18, 21-12","0:39","Contender's Bracket","Round 4"
"Atlantic City Open",2014,"W","27","Sep 5 - Sep 7","April Ross/Kerri Walsh Jennings","1","Kathryn Piening/Megan Wallin-Brockway","8","21-13, 21-12","0:34","Semifinals",
"Atlantic City Open",2014,"W","28","Sep 5 - Sep 7","Emily Day/Summer Ross","2","Kim DiCello/Lane Carico","3","21-14, 21-15","0:36","Semifinals",
"Atlantic City Open",2014,"W","29","Sep 5 - Sep 7","April Ross/Kerri Walsh Jennings","1","Emily Day/Summer Ross","2","21-19, 21-12","0:45","Finals",
"Atlantic City Open",2014,"M","2","Sep 5 - Sep 7","Brian Gilmore/David Keeter","Q33","Matt Helmick/Scott Castevens","Q32","21-15, 21-13","0:39","Qualifier Bracket","Round 1"
"Atlantic City Open",2014,"M","6","Sep 5 - Sep 7","Brian Tillman/Jake Elliott","Q24","Aaron St. Lawrence/Tom Klemas","Q41","21-14, 21-15","0:37","Qualifier Bracket","Round 1"
"Atlantic City Open",2014,"M","7","Sep 5 - Sep 7","Joshua Zuidema/Steven Dierstein","Q40","Darryl Olenchalk/Jim Sias","Q25","21-7, 21-11","0:34","Qualifier Bracket","Round 1"
"Atlantic City Open",2014,"M","10","Sep 5 - Sep 7","Christopher Vaughan/David Evans","Q28","Jay Taylor/Ryan Yakaboski","Q37","21-14, 21-17","0:42","Qualifier Bracket","Round 1"
"Atlantic City Open",2014,"M","15","Sep 5 - Sep 7","Brett Greiner/John Nunns","Q29","Jim Nichols/Walker Nichols","Q36","21-12, 21-12","0:41","Qualifier Bracket","Round 1"
"Atlantic City Open",2014,"M","18","Sep 5 - Sep 7","Jameel Epps/Nick Fusilli","Q35","Gene Wade/Jordan Robison","Q30","21-9, 21-17","0:36","Qualifier Bracket","Round 1"
"Atlantic City Open",2014,"M","23","Sep 5 - Sep 7","Brandon Joyner/Marc Fornaciari","Q27","Pawel Pregowski/Will Rohde","Q38","21-8, 21-11","0:34","Qualifier Bracket","Round 1"
"Atlantic City Open",2014,"M","26","Sep 5 - Sep 7","Chris Sweat/Donny Bass","Q26","CJ Amber/Stik Coffin","Q39","21-9, 21-3","0:32","Qualifier Bracket","Round 1"
"Atlantic City Open",2014,"M","27","Sep 5 - Sep 7","Johnathan Breen/Ryan Berning","Q23","Michael Christ/Ross Pearlman","Q42","21-15, 21-19","0:40","Qualifier Bracket","Round 1"
"Atlantic City Open",2014,"M","31","Sep 5 - Sep 7","Brian Wells/Kyle O'Neill","Q34","Matt Cook/Tom Shaver","Q31","21-13, 21-17","0:27","Qualifier Bracket","Round 1"
"Atlantic City Open",2014,"M","33","Sep 5 - Sep 7","Adam Roberts/Billy Kolinske","Q1","Brian Gilmore/David Keeter","Q33","29-27, 25-27, 15-12","1:24","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","34","Sep 5 - Sep 7","Etan Bennett/Tom Kohler","Q16","Jack Mitchell/Nick Miller","Q17","23-21, 15-21, 15-12","1:06","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","35","Sep 5 - Sep 7","Eric Lucas/Shane Donohue","16, Q9","Brian Tillman/Jake Elliott","Q24","22-20, 21-17","0:48","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","36","Sep 5 - Sep 7","Joshua Zuidema/Steven Dierstein","Q40","Dan Buehring/Matthew McCarthy","Q8","14-21, 22-20, 18-16","0:55","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","37","Sep 5 - Sep 7","Clay Paullin/Hawk Hatcher","Q5","Christopher Vaughan/David Evans","Q28","17-21, 21-19, 15-9","1:06","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","38","Sep 5 - Sep 7","Kristopher Fraser/Steve Van Zwieten","Q12","Garth McGinley/Ryan McGinley","Q21","21-15, 21-15","0:36","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","39","Sep 5 - Sep 7","Cody Kessel/Skylar DelSol","Q13","Leonardo Lunardi/Ron Torrance II","Q20","21-12, 21-9","0:36","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","40","Sep 5 - Sep 7","Jason Lochhead/Russ Marchewka","15, Q4","Brett Greiner/John Nunns","Q29","21-16, 21-11","0:43","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","41","Sep 5 - Sep 7","Ed Ratledge/Will Montgomery","14, Q3","Jameel Epps/Nick Fusilli","Q35","21-11, 21-15","0:39","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","42","Sep 5 - Sep 7","Adam Cabbage/Jake Rosener","Q14","Brian Marsh/Tyler Machie-Marsh","Q19","21-11, 21-15","0:33","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","43","Sep 5 - Sep 7","Chris Luers/William Robbins","Q11","Kent Ammons/William Chenoweth","Q22","8-6 retired","0:08","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","44","Sep 5 - Sep 7","Andrew McGuire/Jon Mesko","Q6","Brandon Joyner/Marc Fornaciari","Q27","21-17, 21-17","0:44","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","45","Sep 5 - Sep 7","Kyle Radde/Steven VanderWerp","Q7","Chris Sweat/Donny Bass","Q26","21-7, 21-9","0:31","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","46","Sep 5 - Sep 7","Andrew Dentler/Mark Burik","Q10","Johnathan Breen/Ryan Berning","Q23","21-14, 21-13","0:38","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","47","Sep 5 - Sep 7","Kibbee Jelks/Nate Davis","Q15","Bryan McDermand/Jerrod Quillen","Q18","21-18, 17-21, 22-20","1:26","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","48","Sep 5 - Sep 7","Dave McKienzie/Hudson Bates","13, Q2","Brian Wells/Kyle O'Neill","Q34","21-11, 21-18","0:34","Qualifier Bracket","Round 2"
"Atlantic City Open",2014,"M","49","Sep 5 - Sep 7","Adam Roberts/Billy Kolinske","Q1","Etan Bennett/Tom Kohler","Q16","21-18, 21-15","0:46","Qualifier Bracket","Round 3"
"Atlantic City Open",2014,"M","50","Sep 5 - Sep 7","Eric Lucas/Shane Donohue","16, Q9","Joshua Zuidema/Steven Dierstein","Q40","21-15, 21-15","0:38","Qualifier Bracket","Round 3"
"Atlantic City Open",2014,"M","51","Sep 5 - Sep 7","Clay Paullin/Hawk Hatcher","Q5","Kristopher Fraser/Steve Van Zwieten","Q12","21-16, 18-21, 15-7","0:56","Qualifier Bracket","Round 3"
"Atlantic City Open",2014,"M","52","Sep 5 - Sep 7","Jason Lochhead/Russ Marchewka","15, Q4","Cody Kessel/Skylar DelSol","Q13","21-16, 19-21, 15-8","1:04","Qualifier Bracket","Round 3"
"Atlantic City Open",2014,"M","53","Sep 5 - Sep 7","Ed Ratledge/Will Montgomery","14, Q3","Adam Cabbage/Jake Rosener","Q14","21-12, 24-22","0:38","Qualifier Bracket","Round 3"
"Atlantic City Open",2014,"M","54","Sep 5 - Sep 7","Andrew McGuire/Jon Mesko","Q6","Chris Luers/William Robbins","Q11","21-12, 21-15","0:43","Qualifier Bracket","Round 3"
"Atlantic City Open",2014,"M","55","Sep 5 - Sep 7","Kyle Radde/Steven VanderWerp","Q7","Andrew Dentler/Mark Burik","Q10","17-21, 22-20, 15-12","0:57","Qualifier Bracket","Round 3"
"Atlantic City Open",2014,"M","56","Sep 5 - Sep 7","Dave McKienzie/Hudson Bates","13, Q2","Kibbee Jelks/Nate Davis","Q15","19-21, 25-23, 15-8","1:15","Qualifier Bracket","Round 3"
"Atlantic City Open",2014,"M","57","Sep 5 - Sep 7","Eric Lucas/Shane Donohue","16, Q9","Adam Roberts/Billy Kolinske","Q1","19-21, 21-12, 15-13","0:52","Qualifier Bracket","Round 4"
"Atlantic City Open",2014,"M","58","Sep 5 - Sep 7","Jason Lochhead/Russ Marchewka","15, Q4","Clay Paullin/Hawk Hatcher","Q5","21-11, 21-14","0:37","Qualifier Bracket","Round 4"
"Atlantic City Open",2014,"M","59","Sep 5 - Sep 7","Ed Ratledge/Will Montgomery","14, Q3","Andrew McGuire/Jon Mesko","Q6","21-9, 21-14","0:37","Qualifier Bracket","Round 4"
"Atlantic City Open",2014,"M","60","Sep 5 - Sep 7","Dave McKienzie/Hudson Bates","13, Q2","Kyle Radde/Steven VanderWerp","Q7","24-22, 21-19","0:41","Qualifier Bracket","Round 4"
"Atlantic City Open",2014,"M","1","Sep 5 - Sep 7","Casey Patterson/Jake Gibb","1","Eric Lucas/Shane Donohue","16, Q9","21-14, 21-10","0:38","Winner's Bracket","Round 1"
"Atlantic City Open",2014,"M","2","Sep 5 - Sep 7","Adrian Carambula/Stafford Slick","8","Pedro Brazao/Steve Grotowski","9","21-16, 21-17","0:45","Winner's Bracket","Round 1"
"Atlantic City Open",2014,"M","3","Sep 5 - Sep 7","Andrei Belov/Ty Tramblie","12","Brad Keenan/John Mayer","5","21-14, 21-15","0:43","Winner's Bracket","Round 1"
"Atlantic City Open",2014,"M","4","Sep 5 - Sep 7","Dave McKienzie/Hudson Bates","13, Q2","Theo Brunner/Todd Rogers","4","21-15, 21-19","0:40","Winner's Bracket","Round 1"
"Atlantic City Open",2014,"M","5","Sep 5 - Sep 7","Nick Lucena/Ryan Doherty","3","Ed Ratledge/Will Montgomery","14, Q3","21-11, 21-16","0:35","Winner's Bracket","Round 1"
"Atlantic City Open",2014,"M","6","Sep 5 - Sep 7","Casey Jennings/Jeremy Casebeer","6","Avery Drost/Derek Olson","11","22-20, 21-17","0:54","Winner's Bracket","Round 1"
"Atlantic City Open",2014,"M","7","Sep 5 - Sep 7","Billy Allen/Trevor Crabb","7","Kevin McColloch/Matt Olson","10","21-18, 21-17","0:41","Winner's Bracket","Round 1"
"Atlantic City Open",2014,"M","8","Sep 5 - Sep 7","John Hyden/Tri Bourne","2","Jason Lochhead/Russ Marchewka","15, Q4","21-13, 21-18","0:49","Winner's Bracket","Round 1"
"Atlantic City Open",2014,"M","9","Sep 5 - Sep 7","Casey Patterson/Jake Gibb","1","Adrian Carambula/Stafford Slick","8","21-12, 21-16","0:36","Winner's Bracket","Round 2"
"Atlantic City Open",2014,"M","10","Sep 5 - Sep 7","Andrei Belov/Ty Tramblie","12","Dave McKienzie/Hudson Bates","13, Q2","21-18, 15-21, 15-12","1:06","Winner's Bracket","Round 2"
"Atlantic City Open",2014,"M","11","Sep 5 - Sep 7","Nick Lucena/Ryan Doherty","3","Casey Jennings/Jeremy Casebeer","6","22-20, 18-21, 15-13","1:08","Winner's Bracket","Round 2"
"Atlantic City Open",2014,"M","12","Sep 5 - Sep 7","John Hyden/Tri Bourne","2","Billy Allen/Trevor Crabb","7","21-16, 21-18","0:42","Winner's Bracket","Round 2"
"Atlantic City Open",2014,"M","13","Sep 5 - Sep 7","Casey Patterson/Jake Gibb","1","Andrei Belov/Ty Tramblie","12","21-19, 21-19","0:49","Winner's Bracket","Round 3"
"Atlantic City Open",2014,"M","14","Sep 5 - Sep 7","Nick Lucena/Ryan Doherty","3","John Hyden/Tri Bourne","2","21-18, 21-13","0:34","Winner's Bracket","Round 3"
"Atlantic City Open",2014,"M","15","Sep 5 - Sep 7","Jason Lochhead/Russ Marchewka","15, Q4","Kevin McColloch/Matt Olson","10","21-19, 21-12","0:35","Contender's Bracket","Round 1"
"Atlantic City Open",2014,"M","16","Sep 5 - Sep 7","Ed Ratledge/Will Montgomery","14, Q3","Avery Drost/Derek Olson","11","21-15, 26-24","0:54","Contender's Bracket","Round 1"
"Atlantic City Open",2014,"M","17","Sep 5 - Sep 7","Brad Keenan/John Mayer","5","Theo Brunner/Todd Rogers","4","21-15, 22-20","0:41","Contender's Bracket","Round 1"
"Atlantic City Open",2014,"M","18","Sep 5 - Sep 7","Pedro Brazao/Steve Grotowski","9","Eric Lucas/Shane Donohue","16, Q9","21-11, 19-21, 15-13","1:03","Contender's Bracket","Round 1"
"Atlantic City Open",2014,"M","19","Sep 5 - Sep 7","Jason Lochhead/Russ Marchewka","15, Q4","Dave McKienzie/Hudson Bates","13, Q2","26-24, 22-20","0:54","Contender's Bracket","Round 2"
"Atlantic City Open",2014,"M","20","Sep 5 - Sep 7","Adrian Carambula/Stafford Slick","8","Ed Ratledge/Will Montgomery","14, Q3","21-19, 21-15","0:41","Contender's Bracket","Round 2"
"Atlantic City Open",2014,"M","21","Sep 5 - Sep 7","Billy Allen/Trevor Crabb","7","Brad Keenan/John Mayer","5","20-22, 21-19, 15-7","0:55","Contender's Bracket","Round 2"
"Atlantic City Open",2014,"M","22","Sep 5 - Sep 7","Pedro Brazao/Steve Grotowski","9","Casey Jennings/Jeremy Casebeer","6","21-18, 21-17","0:42","Contender's Bracket","Round 2"
"Atlantic City Open",2014,"M","23","Sep 5 - Sep 7","Adrian Carambula/Stafford Slick","8","Jason Lochhead/Russ Marchewka","15, Q4","21-17, 19-21, 15-11","1:02","Contender's Bracket","Round 3"
"Atlantic City Open",2014,"M","24","Sep 5 - Sep 7","Billy Allen/Trevor Crabb","7","Pedro Brazao/Steve Grotowski","9","21-18, 18-21, 15-13","1:06","Contender's Bracket","Round 3"
"Atlantic City Open",2014,"M","25","Sep 5 - Sep 7","Adrian Carambula/Stafford Slick","8","John Hyden/Tri Bourne","2","16-21, 21-17, 15-11","0:50","Contender's Bracket","Round 4"
"Atlantic City Open",2014,"M","26","Sep 5 - Sep 7","Billy Allen/Trevor Crabb","7","Andrei Belov/Ty Tramblie","12","21-23, 25-23, 15-12","1:15","Contender's Bracket","Round 4"
"Atlantic City Open",2014,"M","27","Sep 5 - Sep 7","Casey Patterson/Jake Gibb","1","Adrian Carambula/Stafford Slick","8","21-18, 21-11","0:44","Semifinals",
"Atlantic City Open",2014,"M","28","Sep 5 - Sep 7","Nick Lucena/Ryan Doherty","3","Billy Allen/Trevor Crabb","7","21-15, 21-14","0:33","Semifinals",
"Atlantic City Open",2014,"M","29","Sep 5 - Sep 7","Casey Patterson/Jake Gibb","1","Nick Lucena/Ryan Doherty","3","21-15, 21-14","0:47","Finals",
"Cincinnati Open",2014,"W","2","Aug 28 - Aug 31","Iwona Lodzik/Rasa DiSalvo","Q8","Laura Anderson/Staci Venski","Q9","21-19, 21-9","0:35","Qualifier Bracket","Round 1"
"Cincinnati Open",2014,"W","3","Aug 28 - Aug 31","Branagan Fuller/Caley Redden","Q5","Annie Daniel/Diane Gordon","Q12","21-18, 21-16","0:32","Qualifier Bracket","Round 1"
"Cincinnati Open",2014,"W","4","Aug 28 - Aug 31","Caitlin Ledoux/Irene Pollock","16, Q4","Alex Shipley/Amanda Meadows","Q13","21-8, 21-15","0:28","Qualifier Bracket","Round 1"
"Cincinnati Open",2014,"W","6","Aug 28 - Aug 31","Jane Chafeh/Laryssa Mereszczak","Q6","Ashley Dover/LeeAnn Starr","Q11","21-13, 21-16","0:33","Qualifier Bracket","Round 1"
"Cincinnati Open",2014,"W","7","Aug 28 - Aug 31","Meg Dawson/Tiffany Marinos","Q7","Kerri Schuh/Morgan Peterson","Q10","20-22, 24-22, 15-11","0:58","Qualifier Bracket","Round 1"
"Cincinnati Open",2014,"W","9","Aug 28 - Aug 31","Kendra VanZwieten/Tealle Hunkus","13, Q1","Iwona Lodzik/Rasa DiSalvo","Q8","21-14, 21-14","0:36","Qualifier Bracket","Round 2"
"Cincinnati Open",2014,"W","10","Aug 28 - Aug 31","Caitlin Ledoux/Irene Pollock","16, Q4","Branagan Fuller/Caley Redden","Q5","21-17, 27-29, 15-10","0:56","Qualifier Bracket","Round 2"
"Cincinnati Open",2014,"W","11","Aug 28 - Aug 31","Angela Bensend/Geena Urango","15, Q3","Jane Chafeh/Laryssa Mereszczak","Q6","21-14, 19-21, 15-13","0:54","Qualifier Bracket","Round 2"
"Cincinnati Open",2014,"W","12","Aug 28 - Aug 31","Aurora Davis/Kelly Schumacher","14, Q2","Meg Dawson/Tiffany Marinos","Q7","21-13, 21-8","0:32","Qualifier Bracket","Round 2"
"Cincinnati Open",2014,"W","1","Aug 28 - Aug 31","April Ross/Kerri Walsh Jennings","1","Caitlin Ledoux/Irene Pollock","16, Q4","21-12, 21-15","0:32","Winner's Bracket","Round 1"
"Cincinnati Open",2014,"W","2","Aug 28 - Aug 31","Ali McColloch/Brittany Hochevar","9","Olaya Pazo/Sheila Shaw","8","21-14, 22-20","0:37","Winner's Bracket","Round 1"
"Cincinnati Open",2014,"W","3","Aug 28 - Aug 31","Emily Stockman/Traci Weamer","12","Heather McGuire/Whitney Pavlik","5","21-17, 16-21, 15-13","0:57","Winner's Bracket","Round 1"
"Cincinnati Open",2014,"W","4","Aug 28 - Aug 31","Kim DiCello/Lane Carico","4","Kendra VanZwieten/Tealle Hunkus","13, Q1","21-18, 21-15","0:38","Winner's Bracket","Round 1"
"Cincinnati Open",2014,"W","5","Aug 28 - Aug 31","Emily Day/Summer Ross","3","Aurora Davis/Kelly Schumacher","14, Q2","21-17, 21-14","0:37","Winner's Bracket","Round 1"
"Cincinnati Open",2014,"W","6","Aug 28 - Aug 31","Jess Clausen/Morgan Miller","11","Amanda Dowdy/Nicole Branagh","6","21-18, 22-20","0:39","Winner's Bracket","Round 1"
"Cincinnati Open",2014,"W","7","Aug 28 - Aug 31","Christal Engle/Sarah Day","7","Kathryn Piening/Megan Wallin-Brockway","10","26-24, 21-17","0:47","Winner's Bracket","Round 1"
"Cincinnati Open",2014,"W","8","Aug 28 - Aug 31","Brooke Sweat/Lauren Fendrick","2","Angela Bensend/Geena Urango","15, Q3","21-18, 21-14","0:37","Winner's Bracket","Round 1"
"Cincinnati Open",2014,"W","9","Aug 28 - Aug 31","April Ross/Kerri Walsh Jennings","1","Ali McColloch/Brittany Hochevar","9","21-14, 21-12","0:32","Winner's Bracket","Round 2"
"Cincinnati Open",2014,"W","10","Aug 28 - Aug 31","Kim DiCello/Lane Carico","4","Emily Stockman/Traci Weamer","12","21-10, 21-18","0:36","Winner's Bracket","Round 2"
"Cincinnati Open",2014,"W","11","Aug 28 - Aug 31","Emily Day/Summer Ross","3","Jess Clausen/Morgan Miller","11","21-10, 21-13","0:36","Winner's Bracket","Round 2"
"Cincinnati Open",2014,"W","12","Aug 28 - Aug 31","Brooke Sweat/Lauren Fendrick","2","Christal Engle/Sarah Day","7","21-17, 22-20","0:45","Winner's Bracket","Round 2"
"Cincinnati Open",2014,"W","13","Aug 28 - Aug 31","April Ross/Kerri Walsh Jennings","1","Kim DiCello/Lane Carico","4","21-8, 21-11","0:36","Winner's Bracket","Round 3"
"Cincinnati Open",2014,"W","14","Aug 28 - Aug 31","Brooke Sweat/Lauren Fendrick","2","Emily Day/Summer Ross","3","17-21, 21-18, 15-13","1:00","Winner's Bracket","Round 3"
"Cincinnati Open",2014,"W","15","Aug 28 - Aug 31","Kathryn Piening/Megan Wallin-Brockway","10","Angela Bensend/Geena Urango","15, Q3","23-21, 17-21, 17-15","1:00","Contender's Bracket","Round 1"
"Cincinnati Open",2014,"W","16","Aug 28 - Aug 31","Amanda Dowdy/Nicole Branagh","6","Aurora Davis/Kelly Schumacher","14, Q2","21-18, 21-18","0:38","Contender's Bracket","Round 1"
"Cincinnati Open",2014,"W","17","Aug 28 - Aug 31","Kendra VanZwieten/Tealle Hunkus","13, Q1","Heather McGuire/Whitney Pavlik","5","18-21, 21-19, 16-14","0:58","Contender's Bracket","Round 1"
"Cincinnati Open",2014,"W","18","Aug 28 - Aug 31","Olaya Pazo/Sheila Shaw","8","Caitlin Ledoux/Irene Pollock","16, Q4","21-19, 21-15","0:42","Contender's Bracket","Round 1"
"Cincinnati Open",2014,"W","19","Aug 28 - Aug 31","Emily Stockman/Traci Weamer","12","Kathryn Piening/Megan Wallin-Brockway","10","21-13, 21-14","0:36","Contender's Bracket","Round 2"
"Cincinnati Open",2014,"W","20","Aug 28 - Aug 31","Ali McColloch/Brittany Hochevar","9","Amanda Dowdy/Nicole Branagh","6","21-18, 21-18","0:37","Contender's Bracket","Round 2"
"Cincinnati Open",2014,"W","21","Aug 28 - Aug 31","Christal Engle/Sarah Day","7","Kendra VanZwieten/Tealle Hunkus","13, Q1","13-21, 21-17, 15-13","0:53","Contender's Bracket","Round 2"
"Cincinnati Open",2014,"W","22","Aug 28 - Aug 31","Jess Clausen/Morgan Miller","11","Olaya Pazo/Sheila Shaw","8","21-13, 21-17","0:39","Contender's Bracket","Round 2"
"Cincinnati Open",2014,"W","23","Aug 28 - Aug 31","Ali McColloch/Brittany Hochevar","9","Emily Stockman/Traci Weamer","12","21-16, 21-14","0:36","Contender's Bracket","Round 3"
"Cincinnati Open",2014,"W","24","Aug 28 - Aug 31","Jess Clausen/Morgan Miller","11","Christal Engle/Sarah Day","7","21-23, 21-14, 17-15","1:00","Contender's Bracket","Round 3"
"Cincinnati Open",2014,"W","25","Aug 28 - Aug 31","Ali McColloch/Brittany Hochevar","9","Emily Day/Summer Ross","3","21-19, 21-18","0:38","Contender's Bracket","Round 4"
"Cincinnati Open",2014,"W","26","Aug 28 - Aug 31","Kim DiCello/Lane Carico","4","Jess Clausen/Morgan Miller","11","21-9, 21-16","0:30","Contender's Bracket","Round 4"
"Cincinnati Open",2014,"W","27","Aug 28 - Aug 31","April Ross/Kerri Walsh Jennings","1","Ali McColloch/Brittany Hochevar","9","21-12, 21-14","0:34","Semifinals",
"Cincinnati Open",2014,"W","28","Aug 28 - Aug 31","Brooke Sweat/Lauren Fendrick","2","Kim DiCello/Lane Carico","4","21-11, 18-21, 15-9","0:57","Semifinals",
"Cincinnati Open",2014,"W","29","Aug 28 - Aug 31","April Ross/Kerri Walsh Jennings","1","Brooke Sweat/Lauren Fendrick","2","21-14, 21-15","0:50","Finals",
"Cincinnati Open",2014,"M","2","Aug 28 - Aug 31","Jarrett Partridge/Lionel Trebilcock","Q32","Brandon Nelson/Michael McCaskill","Q33","21-10, 21-18","0:38","Qualifier Bracket","Round 1"
"Cincinnati Open",2014,"M","15","Aug 28 - Aug 31","Brandon Fillinger/Corey Lawwill","Q29","Phil Sims/Trevor Emerson","Q36","21-18, 21-11","0:36","Qualifier Bracket","Round 1"
"Cincinnati Open",2014,"M","18","Aug 28 - Aug 31","Joe Ruzick/Mike Buob","Q30","Josh McDonald/Riley Painter","Q35","21-12, 21-11","0:28","Qualifier Bracket","Round 1"
"Cincinnati Open",2014,"M","31","Aug 28 - Aug 31","Joey McDonald/Nick Faulkenberg","Q34","Ellis Walsh/Hans Schroeder","Q31","21-15, 21-15","0:35","Qualifier Bracket","Round 1"
"Cincinnati Open",2014,"M","33","Aug 28 - Aug 31","Adam Roberts/Billy Kolinske","Q1","Jarrett Partridge/Lionel Trebilcock","Q32","21-11, 21-11","0:28","Qualifier Bracket","Round 2"
